序号,本地时间,启动后时间,cmd_id,seq,类型,说明,来源录波,hero,engineer,infantry_3,infantry_4,reserved,aerial,sentry,coins_remaining,coins_total,occupancy_status_bits,sentry_posture,hero_x_cm,hero_y_cm,engineer_x_cm,engineer_y_cm,infantry_3_x_cm,infantry_3_y_cm,infantry_4_x_cm,infantry_4_y_cm,aerial_x_cm,aerial_y_cm,sentry_x_cm,sentry_y_cm,hero_heal_pct,hero_cooling,hero_defense_pct,hero_negative_defense_pct,hero_attack_pct,engineer_heal_pct,engineer_cooling,engineer_defense_pct,engineer_negative_defense_pct,engineer_attack_pct,infantry_3_heal_pct,infantry_3_cooling,infantry_3_defense_pct,infantry_3_negative_defense_pct,infantry_3_attack_pct,infantry_4_heal_pct,infantry_4_cooling,infantry_4_defense_pct,infantry_4_negative_defense_pct,infantry_4_attack_pct,sentry_heal_pct,sentry_cooling,sentry_defense_pct,sentry_negative_defense_pct,sentry_attack_pct
60,2026-05-30T18:02:09.000,04:08.00,0x0A01,101,位置,各机器人场地坐标，单位 cm,info_20260530_180209_loop000000.c64,,,,,,,,,,,,1133,1242,1306,831,0,0,1465,390,1588,1313,1004,1093,,,,,,,,,,,,,,,,,,,,,,,,,
61,2026-05-30T18:02:09.000,04:08.00,0x0A02,102,血量,各机器人剩余血量,info_20260530_180209_loop000000.c64,150,178,0,28,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2026-05-30T18:02:09.000,04:08.00,0x0A03,103,发弹量,各机器人/单位剩余发弹量,info_20260530_180209_loop000000.c64,4,,0,54,,605,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2026-05-30T18:02:09.000,04:08.00,0x0A04,104,经济/占领,经济与占领状态,info_20260530_180209_loop000000.c64,,,,,,,,221,600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2026-05-30T18:02:09.000,04:08.00,0x0A01,108,位置,各机器人场地坐标，单位 cm,info_20260530_180209_loop000000.c64,,,,,,,,,,,,1134,1236,1306,833,0,0,1484,387,1588,1315,998,1091,,,,,,,,,,,,,,,,,,,,,,,,,
65,2026-05-30T18:02:09.000,04:08.00,0x0A02,109,血量,各机器人剩余血量,info_20260530_180209_loop000000.c64,150,178,0,28,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2026-05-30T18:02:09.000,04:08.00,0x0A03,110,发弹量,各机器人/单位剩余发弹量,info_20260530_180209_loop000000.c64,4,,0,54,,604,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2026-05-30T18:02:09.000,04:08.00,0x0A04,111,经济/占领,经济与占领状态,info_20260530_180209_loop000000.c64,,,,,,,,221,600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2026-05-30T18:02:09.000,04:08.00,0x0A02,116,血量,各机器人剩余血量,info_20260530_180209_loop000000.c64,150,178,0,28,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2026-05-30T18:02:09.000,04:08.00,0x0A03,117,发弹量,各机器人/单位剩余发弹量,info_20260530_180209_loop000000.c64,4,,0,54,,603,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2026-05-30T18:02:09.000,04:08.00,0x0A04,118,经济/占领,经济与占领状态,info_20260530_180209_loop000000.c64,,,,,,,,221,600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2026-05-30T18:02:27.000,04:26.00,0x0A01,39,位置,各机器人场地坐标，单位 cm,info_20260530_180227_loop000000.c64,,,,,,,,,,,,1132,1245,1302,825,0,0,288,356,1584,1330,968,1047,,,,,,,,,,,,,,,,,,,,,,,,,
72,2026-05-30T18:02:27.000,04:26.00,0x0A03,41,发弹量,各机器人/单位剩余发弹量,info_20260530_180227_loop000000.c64,3,,0,54,,595,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2026-05-30T18:02:27.000,04:26.00,0x0A04,42,经济/占领,经济与占领状态,info_20260530_180227_loop000000.c64,,,,,,,,278,675,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2026-05-30T18:02:27.000,04:26.00,0x0A05,43,Buff/哨兵姿态,增益、冷却、哨兵姿态等状态,info_20260530_180227_loop000000.c64,,,,,,,,,,,3,,,,,,,,,,,,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,20,0,0,0,0,25,0
75,2026-05-30T18:02:27.000,04:26.00,0x0A01,46,位置,各机器人场地坐标，单位 cm,info_20260530_180227_loop000000.c64,,,,,,,,,,,,1131,1241,1303,824,0,0,299,349,1587,1332,970,1046,,,,,,,,,,,,,,,,,,,,,,,,,
76,2026-05-30T18:02:27.000,04:26.00,0x0A02,47,血量,各机器人剩余血量,info_20260530_180227_loop000000.c64,150,178,0,28,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2026-05-30T18:02:27.000,04:26.00,0x0A03,48,发弹量,各机器人/单位剩余发弹量,info_20260530_180227_loop000000.c64,3,,0,54,,595,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2026-05-30T18:02:45.000,04:44.00,0x0A02,6,血量,各机器人剩余血量,info_20260530_180245_loop000000.c64,150,178,0,251,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2026-05-30T18:02:45.000,04:44.00,0x0A03,7,发弹量,各机器人/单位剩余发弹量,info_20260530_180245_loop000000.c64,2,,0,89,,595,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2026-05-30T18:02:45.000,04:44.00,0x0A04,8,经济/占领,经济与占领状态,info_20260530_180245_loop000000.c64,,,,,,,,336,800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2026-05-30T18:02:45.000,04:44.00,0x0A02,13,血量,各机器人剩余血量,info_20260530_180245_loop000000.c64,150,178,0,251,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2026-05-30T18:02:45.000,04:44.00,0x0A04,15,经济/占领,经济与占领状态,info_20260530_180245_loop000000.c64,,,,,,,,336,800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2026-05-30T18:02:45.000,04:44.00,0x0A04,22,经济/占领,经济与占领状态,info_20260530_180245_loop000000.c64,,,,,,,,336,800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2026-05-30T18:02:45.000,04:44.00,0x0A05,23,Buff/哨兵姿态,增益、冷却、哨兵姿态等状态,info_20260530_180245_loop000000.c64,,,,,,,,,,,3,,,,,,,,,,,,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,25,0
85,2026-05-30T18:02:45.000,04:44.00,0x0A01,26,位置,各机器人场地坐标，单位 cm,info_20260530_180245_loop000000.c64,,,,,,,,,,,,1132,1241,1300,823,0,0,819,284,1588,1332,1010,1071,,,,,,,,,,,,,,,,,,,,,,,,,
86,2026-05-30T18:02:45.000,04:44.00,0x0A04,29,经济/占领,经济与占领状态,info_20260530_180245_loop000000.c64,,,,,,,,335,800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2026-05-30T18:02:45.000,04:44.00,0x0A01,33,位置,各机器人场地坐标，单位 cm,info_20260530_180245_loop000000.c64,,,,,,,,,,,,1132,1242,1299,827,0,0,819,284,1588,1329,1008,1075,,,,,,,,,,,,,,,,,,,,,,,,,
88,2026-05-30T18:02:45.000,04:44.00,0x0A02,34,血量,各机器人剩余血量,info_20260530_180245_loop000000.c64,150,178,0,227,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2026-05-30T18:02:45.000,04:44.00,0x0A03,35,发弹量,各机器人/单位剩余发弹量,info_20260530_180245_loop000000.c64,2,,0,86,,595,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,2026-05-30T18:02:45.000,04:44.00,0x0A01,40,位置,各机器人场地坐标，单位 cm,info_20260530_180245_loop000000.c64,,,,,,,,,,,,1132,1242,1299,827,0,0,823,283,1588,1329,1008,1075,,,,,,,,,,,,,,,,,,,,,,,,,
91,2026-05-30T18:02:45.000,04:44.00,0x0A04,43,经济/占领,经济与占领状态,info_20260530_180245_loop000000.c64,,,,,,,,335,800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2026-05-30T18:02:45.000,04:44.00,0x0A05,44,Buff/哨兵姿态,增益、冷却、哨兵姿态等状态,info_20260530_180245_loop000000.c64,,,,,,,,,,,3,,,,,,,,,,,,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,25,0
93,2026-05-30T18:02:45.000,04:44.00,0x0A02,48,血量,各机器人剩余血量,info_20260530_180245_loop000000.c64,150,178,0,227,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2026-05-30T18:02:45.000,04:44.00,0x0A03,49,发弹量,各机器人/单位剩余发弹量,info_20260530_180245_loop000000.c64,2,,0,86,,595,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,2026-05-30T18:02:45.000,04:44.00,0x0A04,50,经济/占领,经济与占领状态,info_20260530_180245_loop000000.c64,,,,,,,,335,800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,2026-05-30T18:02:45.000,04:44.00,0x0A05,51,Buff/哨兵姿态,增益、冷却、哨兵姿态等状态,info_20260530_180245_loop000000.c64,,,,,,,,,,,3,,,,,,,,,,,,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,25,0
97,2026-05-30T18:03:03.000,05:02.00,0x0A05,231,Buff/哨兵姿态,增益、冷却、哨兵姿态等状态,info_20260530_180303_loop000000.c64,,,,,,,,,,,3,,,,,,,,,,,,,0,0,50,20,0,0,0,100,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,25,0
98,2026-05-30T18:03:03.000,05:02.00,0x0A01,234,位置,各机器人场地坐标，单位 cm,info_20260530_180303_loop000000.c64,,,,,,,,,,,,310,872,1289,839,0,0,991,365,1586,1325,1006,1047,,,,,,,,,,,,,,,,,,,,,,,,,
99,2026-05-30T18:03:03.000,05:02.00,0x0A02,235,血量,各机器人剩余血量,info_20260530_180303_loop000000.c64,150,178,0,60,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2026-05-30T18:03:03.000,05:02.00,0x0A01,241,位置,各机器人场地坐标，单位 cm,info_20260530_180303_loop000000.c64,,,,,,,,,,,,310,872,1295,832,0,0,988,373,1586,1325,1006,1047,,,,,,,,,,,,,,,,,,,,,,,,,
101,2026-05-30T18:03:03.000,05:02.00,0x0A02,242,血量,各机器人剩余血量,info_20260530_180303_loop000000.c64,150,178,0,60,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2026-05-30T18:03:03.000,05:02.00,0x0A01,248,位置,各机器人场地坐标，单位 cm,info_20260530_180303_loop000000.c64,,,,,,,,,,,,309,868,1296,835,0,0,988,383,1587,1327,1009,1050,,,,,,,,,,,,,,,,,,,,,,,,,
103,2026-05-30T18:03:03.000,05:02.00,0x0A02,249,血量,各机器人剩余血量,info_20260530_180303_loop000000.c64,150,178,0,60,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2026-05-30T18:03:03.000,05:02.00,0x0A04,251,经济/占领,经济与占领状态,info_20260530_180303_loop000000.c64,,,,,,,,333,1000,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2026-05-30T18:03:03.000,05:02.00,0x0A05,252,Buff/哨兵姿态,增益、冷却、哨兵姿态等状态,info_20260530_180303_loop000000.c64,,,,,,,,,,,3,,,,,,,,,,,,,0,0,50,20,0,0,0,100,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,25,0
