序号,本地时间,启动后时间,cmd_id,seq,类型,说明,来源录波,hero,engineer,infantry_3,infantry_4,reserved,aerial,sentry,coins_remaining,coins_total,occupancy_status_bits,sentry_posture,hero_x_cm,hero_y_cm,engineer_x_cm,engineer_y_cm,infantry_3_x_cm,infantry_3_y_cm,infantry_4_x_cm,infantry_4_y_cm,aerial_x_cm,aerial_y_cm,sentry_x_cm,sentry_y_cm,hero_heal_pct,hero_cooling,hero_defense_pct,hero_negative_defense_pct,hero_attack_pct,engineer_heal_pct,engineer_cooling,engineer_defense_pct,engineer_negative_defense_pct,engineer_attack_pct,infantry_3_heal_pct,infantry_3_cooling,infantry_3_defense_pct,infantry_3_negative_defense_pct,infantry_3_attack_pct,infantry_4_heal_pct,infantry_4_cooling,infantry_4_defense_pct,infantry_4_negative_defense_pct,infantry_4_attack_pct,sentry_heal_pct,sentry_cooling,sentry_defense_pct,sentry_negative_defense_pct,sentry_attack_pct
1,2026-05-30T17:59:30.000,01:29.00,0x0A01,92,位置,各机器人场地坐标，单位 cm,info_20260530_175930_loop000023.c64,,,,,,,,,,,,212,876,161,630,0,0,346,678,160,1332,398,806,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-05-30T17:59:30.000,01:29.00,0x0A02,93,血量,各机器人剩余血量,info_20260530_175930_loop000023.c64,150,250,0,200,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-05-30T17:59:30.000,01:29.00,0x0A03,94,发弹量,各机器人/单位剩余发弹量,info_20260530_175930_loop000023.c64,0,,0,0,,750,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-05-30T17:59:30.000,01:29.00,0x0A04,95,经济/占领,经济与占领状态,info_20260530_175930_loop000023.c64,,,,,,,,0,0,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2026-05-30T18:00:44.000,02:43.00,0x0A05,106,Buff/哨兵姿态,增益、冷却、哨兵姿态等状态,info_20260530_180044_loop000008.c64,,,,,,,,,,,3,,,,,,,,,,,,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
6,2026-05-30T18:00:44.000,02:43.00,0x0A01,109,位置,各机器人场地坐标，单位 cm,info_20260530_180044_loop000008.c64,,,,,,,,,,,,1120,1239,226,114,0,0,963,484,1564,1294,1001,1100,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-05-30T18:00:44.000,02:43.00,0x0A02,110,血量,各机器人剩余血量,info_20260530_180044_loop000008.c64,150,250,0,200,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-05-30T18:00:44.000,02:43.00,0x0A03,111,发弹量,各机器人/单位剩余发弹量,info_20260530_180044_loop000008.c64,11,,0,111,,721,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-05-30T18:00:44.000,02:43.00,0x0A01,116,位置,各机器人场地坐标，单位 cm,info_20260530_180044_loop000008.c64,,,,,,,,,,,,1120,1239,226,114,0,0,963,484,1564,1294,1000,1097,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-05-30T18:00:44.000,02:43.00,0x0A02,117,血量,各机器人剩余血量,info_20260530_180044_loop000008.c64,150,250,0,200,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2026-05-30T18:00:44.000,02:43.00,0x0A03,118,发弹量,各机器人/单位剩余发弹量,info_20260530_180044_loop000008.c64,11,,0,111,,721,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2026-05-30T18:00:44.000,02:43.00,0x0A04,119,经济/占领,经济与占领状态,info_20260530_180044_loop000008.c64,,,,,,,,65,400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2026-05-30T18:00:44.000,02:43.00,0x0A04,126,经济/占领,经济与占领状态,info_20260530_180044_loop000008.c64,,,,,,,,65,400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2026-05-30T18:00:44.000,02:43.00,0x0A01,130,位置,各机器人场地坐标，单位 cm,info_20260530_180044_loop000008.c64,,,,,,,,,,,,1120,1240,216,109,0,0,961,486,1563,1293,1000,1097,,,,,,,,,,,,,,,,,,,,,,,,,
15,2026-05-30T18:00:44.000,02:43.00,0x0A02,131,血量,各机器人剩余血量,info_20260530_180044_loop000008.c64,150,250,0,200,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2026-05-30T18:00:44.000,02:43.00,0x0A03,132,发弹量,各机器人/单位剩余发弹量,info_20260530_180044_loop000008.c64,11,,0,111,,721,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2026-05-30T18:00:44.000,02:43.00,0x0A04,133,经济/占领,经济与占领状态,info_20260530_180044_loop000008.c64,,,,,,,,65,400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2026-05-30T18:00:44.000,02:43.00,0x0A01,137,位置,各机器人场地坐标，单位 cm,info_20260530_180044_loop000008.c64,,,,,,,,,,,,1120,1241,220,114,0,0,957,489,1561,1292,1000,1096,,,,,,,,,,,,,,,,,,,,,,,,,
19,2026-05-30T18:00:44.000,02:43.00,0x0A03,139,发弹量,各机器人/单位剩余发弹量,info_20260530_180044_loop000008.c64,11,,0,111,,721,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2026-05-30T18:01:33.000,03:32.00,0x0A01,148,位置,各机器人场地坐标，单位 cm,info_20260530_180133_loop000000.c64,,,,,,,,,,,,1134,1243,1298,832,0,0,1192,213,1570,1281,951,1069,,,,,,,,,,,,,,,,,,,,,,,,,
21,2026-05-30T18:01:33.000,03:32.00,0x0A03,150,发弹量,各机器人/单位剩余发弹量,info_20260530_180133_loop000000.c64,7,,0,78,,688,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2026-05-30T18:01:33.000,03:32.00,0x0A04,151,经济/占领,经济与占领状态,info_20260530_180133_loop000000.c64,,,,,,,,87,450,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2026-05-30T18:01:33.000,03:32.00,0x0A05,152,Buff/哨兵姿态,增益、冷却、哨兵姿态等状态,info_20260530_180133_loop000000.c64,,,,,,,,,,,3,,,,,,,,,,,,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
24,2026-05-30T18:01:33.000,03:32.00,0x0A03,157,发弹量,各机器人/单位剩余发弹量,info_20260530_180133_loop000000.c64,7,,0,78,,688,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2026-05-30T18:01:33.000,03:32.00,0x0A04,158,经济/占领,经济与占领状态,info_20260530_180133_loop000000.c64,,,,,,,,87,450,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2026-05-30T18:01:33.000,03:32.00,0x0A02,163,血量,各机器人剩余血量,info_20260530_180133_loop000000.c64,150,178,0,207,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2026-05-30T18:01:33.000,03:32.00,0x0A03,164,发弹量,各机器人/单位剩余发弹量,info_20260530_180133_loop000000.c64,7,,0,78,,688,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2026-05-30T18:01:33.000,03:32.00,0x0A04,165,经济/占领,经济与占领状态,info_20260530_180133_loop000000.c64,,,,,,,,87,450,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2026-05-30T18:01:33.000,03:32.00,0x0A02,170,血量,各机器人剩余血量,info_20260530_180133_loop000000.c64,150,178,0,207,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2026-05-30T18:01:33.000,03:32.00,0x0A03,171,发弹量,各机器人/单位剩余发弹量,info_20260530_180133_loop000000.c64,7,,0,78,,688,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2026-05-30T18:01:33.000,03:32.00,0x0A04,172,经济/占领,经济与占领状态,info_20260530_180133_loop000000.c64,,,,,,,,87,450,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2026-05-30T18:01:33.000,03:32.00,0x0A05,173,Buff/哨兵姿态,增益、冷却、哨兵姿态等状态,info_20260530_180133_loop000000.c64,,,,,,,,,,,3,,,,,,,,,,,,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
33,2026-05-30T18:01:33.000,03:32.00,0x0A01,176,位置,各机器人场地坐标，单位 cm,info_20260530_180133_loop000000.c64,,,,,,,,,,,,1132,1243,1289,825,0,0,1224,245,1567,1279,954,1061,,,,,,,,,,,,,,,,,,,,,,,,,
34,2026-05-30T18:01:33.000,03:32.00,0x0A02,177,血量,各机器人剩余血量,info_20260530_180133_loop000000.c64,150,178,0,207,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2026-05-30T18:01:33.000,03:32.00,0x0A03,178,发弹量,各机器人/单位剩余发弹量,info_20260530_180133_loop000000.c64,7,,0,78,,687,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2026-05-30T18:01:33.000,03:32.00,0x0A04,179,经济/占领,经济与占领状态,info_20260530_180133_loop000000.c64,,,,,,,,86,450,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2026-05-30T18:01:33.000,03:32.00,0x0A05,180,Buff/哨兵姿态,增益、冷却、哨兵姿态等状态,info_20260530_180133_loop000000.c64,,,,,,,,,,,3,,,,,,,,,,,,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
38,2026-05-30T18:01:33.000,03:32.00,0x0A01,183,位置,各机器人场地坐标，单位 cm,info_20260530_180133_loop000000.c64,,,,,,,,,,,,1132,1241,1294,825,0,0,1235,244,1569,1279,953,1059,,,,,,,,,,,,,,,,,,,,,,,,,
39,2026-05-30T18:01:33.000,03:32.00,0x0A03,185,发弹量,各机器人/单位剩余发弹量,info_20260530_180133_loop000000.c64,7,,0,78,,686,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2026-05-30T18:01:51.000,03:50.00,0x0A02,108,血量,各机器人剩余血量,info_20260530_180151_loop000000.c64,150,178,0,0,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2026-05-30T18:01:51.000,03:50.00,0x0A03,109,发弹量,各机器人/单位剩余发弹量,info_20260530_180151_loop000000.c64,5,,0,54,,646,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2026-05-30T18:02:09.000,04:08.00,0x0A02,74,血量,各机器人剩余血量,info_20260530_180209_loop000000.c64,150,178,0,28,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2026-05-30T18:02:09.000,04:08.00,0x0A03,75,发弹量,各机器人/单位剩余发弹量,info_20260530_180209_loop000000.c64,4,,0,54,,606,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2026-05-30T18:02:09.000,04:08.00,0x0A04,76,经济/占领,经济与占领状态,info_20260530_180209_loop000000.c64,,,,,,,,221,600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2026-05-30T18:02:09.000,04:08.00,0x0A01,80,位置,各机器人场地坐标，单位 cm,info_20260530_180209_loop000000.c64,,,,,,,,,,,,1135,1240,1308,825,0,0,1458,389,1588,1314,1009,1091,,,,,,,,,,,,,,,,,,,,,,,,,
46,2026-05-30T18:02:09.000,04:08.00,0x0A02,81,血量,各机器人剩余血量,info_20260530_180209_loop000000.c64,150,178,0,28,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2026-05-30T18:02:09.000,04:08.00,0x0A03,82,发弹量,各机器人/单位剩余发弹量,info_20260530_180209_loop000000.c64,4,,0,54,,606,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2026-05-30T18:02:09.000,04:08.00,0x0A04,83,经济/占领,经济与占领状态,info_20260530_180209_loop000000.c64,,,,,,,,221,600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2026-05-30T18:02:09.000,04:08.00,0x0A05,84,Buff/哨兵姿态,增益、冷却、哨兵姿态等状态,info_20260530_180209_loop000000.c64,,,,,,,,,,,3,,,,,,,,,,,,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,25,0
50,2026-05-30T18:02:09.000,04:08.00,0x0A01,87,位置,各机器人场地坐标，单位 cm,info_20260530_180209_loop000000.c64,,,,,,,,,,,,1134,1243,1305,824,0,0,1458,390,1588,1315,1008,1094,,,,,,,,,,,,,,,,,,,,,,,,,
51,2026-05-30T18:02:09.000,04:08.00,0x0A02,88,血量,各机器人剩余血量,info_20260530_180209_loop000000.c64,150,178,0,28,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2026-05-30T18:02:09.000,04:08.00,0x0A03,89,发弹量,各机器人/单位剩余发弹量,info_20260530_180209_loop000000.c64,4,,0,54,,605,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2026-05-30T18:02:09.000,04:08.00,0x0A04,90,经济/占领,经济与占领状态,info_20260530_180209_loop000000.c64,,,,,,,,221,600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2026-05-30T18:02:09.000,04:08.00,0x0A05,91,Buff/哨兵姿态,增益、冷却、哨兵姿态等状态,info_20260530_180209_loop000000.c64,,,,,,,,,,,3,,,,,,,,,,,,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,25,0
55,2026-05-30T18:02:09.000,04:08.00,0x0A01,94,位置,各机器人场地坐标，单位 cm,info_20260530_180209_loop000000.c64,,,,,,,,,,,,1133,1242,1306,831,0,0,1465,390,1588,1313,1004,1093,,,,,,,,,,,,,,,,,,,,,,,,,
56,2026-05-30T18:02:09.000,04:08.00,0x0A02,95,血量,各机器人剩余血量,info_20260530_180209_loop000000.c64,150,178,0,28,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2026-05-30T18:02:09.000,04:08.00,0x0A03,96,发弹量,各机器人/单位剩余发弹量,info_20260530_180209_loop000000.c64,4,,0,54,,605,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2026-05-30T18:02:09.000,04:08.00,0x0A04,97,经济/占领,经济与占领状态,info_20260530_180209_loop000000.c64,,,,,,,,221,600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2026-05-30T18:02:09.000,04:08.00,0x0A05,98,Buff/哨兵姿态,增益、冷却、哨兵姿态等状态,info_20260530_180209_loop000000.c64,,,,,,,,,,,3,,,,,,,,,,,,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,25,0
