序号,本地时间,启动后时间,cmd_id,seq,类型,说明,来源录波,hero,engineer,infantry_3,infantry_4,reserved,aerial,sentry,coins_remaining,coins_total,occupancy_status_bits,sentry_posture,hero_x_cm,hero_y_cm,engineer_x_cm,engineer_y_cm,infantry_3_x_cm,infantry_3_y_cm,infantry_4_x_cm,infantry_4_y_cm,aerial_x_cm,aerial_y_cm,sentry_x_cm,sentry_y_cm,hero_heal_pct,hero_cooling,hero_defense_pct,hero_negative_defense_pct,hero_attack_pct,engineer_heal_pct,engineer_cooling,engineer_defense_pct,engineer_negative_defense_pct,engineer_attack_pct,infantry_3_heal_pct,infantry_3_cooling,infantry_3_defense_pct,infantry_3_negative_defense_pct,infantry_3_attack_pct,infantry_4_heal_pct,infantry_4_cooling,infantry_4_defense_pct,infantry_4_negative_defense_pct,infantry_4_attack_pct,sentry_heal_pct,sentry_cooling,sentry_defense_pct,sentry_negative_defense_pct,sentry_attack_pct
1,2026-05-30T18:22:47.000,01:30.00,0x0A02,72,血量,各机器人剩余血量,info_20260530_182247_loop000023.c64,200,250,200,200,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026-05-30T18:22:47.000,01:30.00,0x0A03,73,发弹量,各机器人/单位剩余发弹量,info_20260530_182247_loop000023.c64,0,,0,0,,750,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026-05-30T18:22:47.000,01:30.00,0x0A04,74,经济/占领,经济与占领状态,info_20260530_182247_loop000023.c64,,,,,,,,0,0,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026-05-30T18:22:47.000,01:30.00,0x0A05,75,Buff/哨兵姿态,增益、冷却、哨兵姿态等状态,info_20260530_182247_loop000023.c64,,,,,,,,,,,3,,,,,,,,,,,,,0,88,0,0,0,0,0,0,0,0,0,95,0,0,0,0,95,0,0,0,0,70,0,0,0
5,2026-05-30T18:22:47.000,01:30.00,0x0A01,78,位置,各机器人场地坐标，单位 cm,info_20260530_182247_loop000023.c64,,,,,,,,,,,,191,863,111,654,228,584,312,672,169,1339,400,827,,,,,,,,,,,,,,,,,,,,,,,,,
6,2026-05-30T18:22:47.000,01:30.00,0x0A02,79,血量,各机器人剩余血量,info_20260530_182247_loop000023.c64,200,250,200,200,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-05-30T18:22:47.000,01:30.00,0x0A03,80,发弹量,各机器人/单位剩余发弹量,info_20260530_182247_loop000023.c64,0,,0,0,,750,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-05-30T18:22:47.000,01:30.00,0x0A04,81,经济/占领,经济与占领状态,info_20260530_182247_loop000023.c64,,,,,,,,0,0,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-05-30T18:22:47.000,01:30.00,0x0A05,82,Buff/哨兵姿态,增益、冷却、哨兵姿态等状态,info_20260530_182247_loop000023.c64,,,,,,,,,,,3,,,,,,,,,,,,,0,88,0,0,0,0,0,0,0,0,0,95,0,0,0,0,95,0,0,0,0,70,0,0,0
10,2026-05-30T18:22:47.000,01:30.00,0x0A01,85,位置,各机器人场地坐标，单位 cm,info_20260530_182247_loop000023.c64,,,,,,,,,,,,191,863,110,652,227,584,310,671,171,1332,401,831,,,,,,,,,,,,,,,,,,,,,,,,,
11,2026-05-30T18:22:47.000,01:30.00,0x0A02,86,血量,各机器人剩余血量,info_20260530_182247_loop000023.c64,200,250,200,200,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2026-05-30T18:22:47.000,01:30.00,0x0A03,87,发弹量,各机器人/单位剩余发弹量,info_20260530_182247_loop000023.c64,0,,0,0,,750,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2026-05-30T18:22:47.000,01:30.00,0x0A04,88,经济/占领,经济与占领状态,info_20260530_182247_loop000023.c64,,,,,,,,0,0,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2026-05-30T18:22:47.000,01:30.00,0x0A01,92,位置,各机器人场地坐标，单位 cm,info_20260530_182247_loop000023.c64,,,,,,,,,,,,190,861,109,653,227,583,313,674,171,1329,396,833,,,,,,,,,,,,,,,,,,,,,,,,,
15,2026-05-30T18:22:47.000,01:30.00,0x0A02,93,血量,各机器人剩余血量,info_20260530_182247_loop000023.c64,200,250,200,200,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2026-05-30T18:22:47.000,01:30.00,0x0A03,94,发弹量,各机器人/单位剩余发弹量,info_20260530_182247_loop000023.c64,0,,0,0,,750,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2026-05-30T18:22:47.000,01:30.00,0x0A04,95,经济/占领,经济与占领状态,info_20260530_182247_loop000023.c64,,,,,,,,0,0,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2026-05-30T18:22:47.000,01:30.00,0x0A01,99,位置,各机器人场地坐标，单位 cm,info_20260530_182247_loop000023.c64,,,,,,,,,,,,189,859,109,653,227,583,311,673,169,1337,396,836,,,,,,,,,,,,,,,,,,,,,,,,,
19,2026-05-30T18:22:47.000,01:30.00,0x0A02,100,血量,各机器人剩余血量,info_20260530_182247_loop000023.c64,200,250,200,200,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2026-05-30T18:22:47.000,01:30.00,0x0A03,101,发弹量,各机器人/单位剩余发弹量,info_20260530_182247_loop000023.c64,0,,0,0,,750,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2026-05-30T18:22:47.000,01:30.00,0x0A04,102,经济/占领,经济与占领状态,info_20260530_182247_loop000023.c64,,,,,,,,0,0,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2026-05-30T18:22:47.000,01:30.00,0x0A01,106,位置,各机器人场地坐标，单位 cm,info_20260530_182247_loop000023.c64,,,,,,,,,,,,189,861,110,655,228,583,312,671,164,1335,394,838,,,,,,,,,,,,,,,,,,,,,,,,,
23,2026-05-30T18:22:47.000,01:30.00,0x0A02,107,血量,各机器人剩余血量,info_20260530_182247_loop000023.c64,200,250,200,200,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2026-05-30T18:22:47.000,01:30.00,0x0A01,113,位置,各机器人场地坐标，单位 cm,info_20260530_182247_loop000023.c64,,,,,,,,,,,,190,861,109,652,228,583,312,673,166,1332,391,835,,,,,,,,,,,,,,,,,,,,,,,,,
25,2026-05-30T18:22:47.000,01:30.00,0x0A02,114,血量,各机器人剩余血量,info_20260530_182247_loop000023.c64,200,250,200,200,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2026-05-30T18:22:47.000,01:30.00,0x0A03,115,发弹量,各机器人/单位剩余发弹量,info_20260530_182247_loop000023.c64,0,,0,0,,750,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2026-05-30T18:22:47.000,01:30.00,0x0A04,116,经济/占领,经济与占领状态,info_20260530_182247_loop000023.c64,,,,,,,,0,0,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2026-05-30T18:24:02.000,02:45.00,0x0A02,129,血量,各机器人剩余血量,info_20260530_182402_loop000008.c64,80,250,200,200,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2026-05-30T18:24:02.000,02:45.00,0x0A05,132,Buff/哨兵姿态,增益、冷却、哨兵姿态等状态,info_20260530_182402_loop000008.c64,,,,,,,,,,,3,,,,,,,,,,,,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,0
30,2026-05-30T18:24:02.000,02:45.00,0x0A01,135,位置,各机器人场地坐标，单位 cm,info_20260530_182402_loop000008.c64,,,,,,,,,,,,888,426,217,109,929,950,931,550,737,1293,367,873,,,,,,,,,,,,,,,,,,,,,,,,,
31,2026-05-30T18:24:02.000,02:45.00,0x0A02,136,血量,各机器人剩余血量,info_20260530_182402_loop000008.c64,80,250,200,200,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2026-05-30T18:24:02.000,02:45.00,0x0A03,137,发弹量,各机器人/单位剩余发弹量,info_20260530_182402_loop000008.c64,11,,100,66,,702,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2026-05-30T18:24:02.000,02:45.00,0x0A04,138,经济/占领,经济与占领状态,info_20260530_182402_loop000008.c64,,,,,,,,10,400,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2026-05-30T18:24:02.000,02:45.00,0x0A01,142,位置,各机器人场地坐标，单位 cm,info_20260530_182402_loop000008.c64,,,,,,,,,,,,886,430,217,111,937,954,929,551,737,1290,362,872,,,,,,,,,,,,,,,,,,,,,,,,,
35,2026-05-30T18:24:02.000,02:45.00,0x0A02,143,血量,各机器人剩余血量,info_20260530_182402_loop000008.c64,80,250,200,200,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2026-05-30T18:24:02.000,02:45.00,0x0A03,144,发弹量,各机器人/单位剩余发弹量,info_20260530_182402_loop000008.c64,11,,100,65,,702,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2026-05-30T18:24:02.000,02:45.00,0x0A01,149,位置,各机器人场地坐标，单位 cm,info_20260530_182402_loop000008.c64,,,,,,,,,,,,884,433,219,112,942,958,930,552,737,1290,363,874,,,,,,,,,,,,,,,,,,,,,,,,,
38,2026-05-30T18:24:02.000,02:45.00,0x0A02,150,血量,各机器人剩余血量,info_20260530_182402_loop000008.c64,80,250,200,200,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2026-05-30T18:24:02.000,02:45.00,0x0A03,151,发弹量,各机器人/单位剩余发弹量,info_20260530_182402_loop000008.c64,11,,100,65,,702,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2026-05-30T18:24:02.000,02:45.00,0x0A01,156,位置,各机器人场地坐标，单位 cm,info_20260530_182402_loop000008.c64,,,,,,,,,,,,879,436,222,110,945,964,929,550,737,1290,357,878,,,,,,,,,,,,,,,,,,,,,,,,,
41,2026-05-30T18:24:02.000,02:45.00,0x0A02,157,血量,各机器人剩余血量,info_20260530_182402_loop000008.c64,80,250,200,200,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2026-05-30T18:24:02.000,02:45.00,0x0A03,158,发弹量,各机器人/单位剩余发弹量,info_20260530_182402_loop000008.c64,11,,100,65,,702,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2026-05-30T18:24:02.000,02:45.00,0x0A04,159,经济/占领,经济与占领状态,info_20260530_182402_loop000008.c64,,,,,,,,10,400,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2026-05-30T18:24:02.000,02:45.00,0x0A01,163,位置,各机器人场地坐标，单位 cm,info_20260530_182402_loop000008.c64,,,,,,,,,,,,877,442,220,112,945,973,930,550,737,1290,354,875,,,,,,,,,,,,,,,,,,,,,,,,,
45,2026-05-30T18:24:02.000,02:45.00,0x0A02,164,血量,各机器人剩余血量,info_20260530_182402_loop000008.c64,80,250,200,200,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2026-05-30T18:24:02.000,02:45.00,0x0A03,165,发弹量,各机器人/单位剩余发弹量,info_20260530_182402_loop000008.c64,11,,100,65,,702,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2026-05-30T18:24:02.000,02:45.00,0x0A05,167,Buff/哨兵姿态,增益、冷却、哨兵姿态等状态,info_20260530_182402_loop000008.c64,,,,,,,,,,,3,,,,,,,,,,,,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,0
48,2026-05-30T18:24:02.000,02:45.00,0x0A01,170,位置,各机器人场地坐标，单位 cm,info_20260530_182402_loop000008.c64,,,,,,,,,,,,871,445,221,112,945,972,929,549,737,1290,354,871,,,,,,,,,,,,,,,,,,,,,,,,,
49,2026-05-30T18:24:02.000,02:45.00,0x0A02,171,血量,各机器人剩余血量,info_20260530_182402_loop000008.c64,80,250,200,200,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2026-05-30T18:24:02.000,02:45.00,0x0A03,172,发弹量,各机器人/单位剩余发弹量,info_20260530_182402_loop000008.c64,11,,100,64,,702,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2026-05-30T18:24:02.000,02:45.00,0x0A04,173,经济/占领,经济与占领状态,info_20260530_182402_loop000008.c64,,,,,,,,10,400,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2026-05-30T18:24:02.000,02:45.00,0x0A05,174,Buff/哨兵姿态,增益、冷却、哨兵姿态等状态,info_20260530_182402_loop000008.c64,,,,,,,,,,,3,,,,,,,,,,,,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,0
53,2026-05-30T18:24:51.000,03:34.00,0x0A01,195,位置,各机器人场地坐标，单位 cm,info_20260530_182451_loop000000.c64,,,,,,,,,,,,1102,1215,477,168,906,521,1005,351,737,1290,361,858,,,,,,,,,,,,,,,,,,,,,,,,,
54,2026-05-30T18:24:51.000,03:34.00,0x0A02,196,血量,各机器人剩余血量,info_20260530_182451_loop000000.c64,200,236,180,225,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2026-05-30T18:24:51.000,03:34.00,0x0A05,199,Buff/哨兵姿态,增益、冷却、哨兵姿态等状态,info_20260530_182451_loop000000.c64,,,,,,,,,,,3,,,,,,,,,,,,,0,0,0,0,0,0,0,50,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
56,2026-05-30T18:24:51.000,03:34.00,0x0A01,202,位置,各机器人场地坐标，单位 cm,info_20260530_182451_loop000000.c64,,,,,,,,,,,,1104,1217,483,171,907,519,1005,350,737,1290,362,861,,,,,,,,,,,,,,,,,,,,,,,,,
57,2026-05-30T18:24:51.000,03:34.00,0x0A02,203,血量,各机器人剩余血量,info_20260530_182451_loop000000.c64,200,236,180,225,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2026-05-30T18:24:51.000,03:34.00,0x0A03,204,发弹量,各机器人/单位剩余发弹量,info_20260530_182451_loop000000.c64,8,,66,42,,702,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2026-05-30T18:24:51.000,03:34.00,0x0A04,205,经济/占领,经济与占领状态,info_20260530_182451_loop000000.c64,,,,,,,,58,450,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2026-05-30T18:24:51.000,03:34.00,0x0A05,206,Buff/哨兵姿态,增益、冷却、哨兵姿态等状态,info_20260530_182451_loop000000.c64,,,,,,,,,,,3,,,,,,,,,,,,,0,0,0,0,0,0,0,50,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
61,2026-05-30T18:24:51.000,03:34.00,0x0A02,210,血量,各机器人剩余血量,info_20260530_182451_loop000000.c64,200,236,180,225,0,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2026-05-30T18:24:51.000,03:34.00,0x0A03,211,发弹量,各机器人/单位剩余发弹量,info_20260530_182451_loop000000.c64,8,,66,42,,702,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2026-05-30T18:24:51.000,03:34.00,0x0A04,212,经济/占领,经济与占领状态,info_20260530_182451_loop000000.c64,,,,,,,,58,450,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2026-05-30T18:24:51.000,03:34.00,0x0A05,213,Buff/哨兵姿态,增益、冷却、哨兵姿态等状态,info_20260530_182451_loop000000.c64,,,,,,,,,,,3,,,,,,,,,,,,,0,0,0,0,0,0,0,50,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
